geo,siec,year,value
LT,"solar thermal",2013,0
LU,"solar thermal",2013,1.633
LV,"solar thermal",2013,0
MD,"solar thermal",2013,0
ME,"solar thermal",2013,0
MK,"solar thermal",2013,0
MT,"solar thermal",2013,4.366
NL,"solar thermal",2013,21.138
NO,"solar thermal",2013,0
PL,"solar thermal",2013,20.445
PT,"solar thermal",2013,43.661
RO,"solar thermal",2013,0
RS,"solar thermal",2013,0
SE,"solar thermal",2013,11.178
SI,"solar thermal",2013,10.168
SK,"solar thermal",2013,5.278
TR,"solar thermal",2013,517.985
XK,"solar thermal",2013,0.096
AL,"heat pumps",2013,0
AT,"heat pumps",2013,99.636
BA,"heat pumps",2013,NULL
BE,"heat pumps",2013,27.969
BG,"heat pumps",2013,0
CY,"heat pumps",2013,1.481
CZ,"heat pumps",2013,65.858
DE,"heat pumps",2013,702.852
DK,"heat pumps",2013,111.643
EE,"heat pumps",2013,0
EL,"heat pumps",2013,0
ES,"heat pumps",2013,0
FI,"heat pumps",2013,0
FR,"heat pumps",2013,1686.039
GE,"heat pumps",2013,0
HR,"heat pumps",2013,15.004
HU,"heat pumps",2013,0
IE,"heat pumps",2013,12.878
IS,"heat pumps",2013,0
IT,"heat pumps",2013,0
LT,"heat pumps",2013,0
LU,"heat pumps",2013,0.725
LV,"heat pumps",2013,0
MD,"heat pumps",2013,0
ME,"heat pumps",2013,0
MK,"heat pumps",2013,0
MT,"heat pumps",2013,0
NL,"heat pumps",2013,32.675
NO,"heat pumps",2013,366.235
PL,"heat pumps",2013,78.532
PT,"heat pumps",2013,0
RO,"heat pumps",2013,0
RS,"heat pumps",2013,0
SE,"heat pumps",2013,0
SI,"heat pumps",2013,19.217
SK,"heat pumps",2013,0
TR,"heat pumps",2013,0
XK,"heat pumps",2013,0
AL,TOTAL,2013,580.003
AT,TOTAL,2013,6911.132
BA,TOTAL,2013,NULL
BE,TOTAL,2013,9085.395
BG,TOTAL,2013,2241.036
CY,TOTAL,2013,304.971
CZ,TOTAL,2013,7269.133
DE,TOTAL,2013,62517.628
DK,TOTAL,2013,4484.143
EE,TOTAL,2013,933.506
EL,TOTAL,2013,3821.337
ES,TOTAL,2013,14888.925
FI,TOTAL,2013,5172.734
FR,TOTAL,2013,46934.921
GE,TOTAL,2013,1159.32
HR,TOTAL,2013,2493.453
HU,TOTAL,2013,6209.747
IE,TOTAL,2013,2920.575
IS,TOTAL,2013,399.164
IT,TOTAL,2013,34230.62
LT,TOTAL,2013,1467.198
LU,TOTAL,2013,498.056
LV,TOTAL,2013,1267.242
MD,TOTAL,2013,1147.203
ME,TOTAL,2013,269.251
MK,TOTAL,2013,519.019
MT,TOTAL,2013,73.999
NL,TOTAL,2013,11412.549
NO,TOTAL,2013,4451.032
PL,TOTAL,2013,20492.305
PT,TOTAL,2013,2634.808
RO,TOTAL,2013,7721.97
RS,TOTAL,2013,2846.752
SE,TOTAL,2013,7694.262
SI,TOTAL,2013,1238.44
SK,TOTAL,2013,2842.735
TR,TOTAL,2013,19807.984
XK,TOTAL,2013,494.163
AL,coal,2014,0.65
AT,coal,2014,26.15
BA,coal,2014,56.449
BE,coal,2014,76.259
BG,coal,2014,131.669
CY,coal,2014,NULL
CZ,coal,2014,830.102
DE,coal,2014,572.765
DK,coal,2014,NULL
EE,coal,2014,4.54
EL,coal,2014,2.888
ES,coal,2014,91.848
FI,coal,2014,0.592
FR,coal,2014,35.139
GE,coal,2014,0.406
HR,coal,2014,3.559
HU,coal,2014,102.428
IE,coal,2014,217.558
IS,coal,2014,NULL
IT,coal,2014,NULL
LT,coal,2014,42.541
LU,coal,2014,0.498
LV,coal,2014,12.696
MD,coal,2014,40.18
ME,coal,2014,2.86
MK,coal,2014,0.798
MT,coal,2014,NULL
NL,coal,2014,0.632
NO,coal,2014,NULL
PL,coal,2014,6339.431
PT,coal,2014,NULL
RO,coal,2014,69.776
RS,coal,2014,169.576
SE,coal,2014,NULL
SI,coal,2014,0.455
SK,coal,2014,19.605
TR,coal,2014,1848.568
XK,coal,2014,13.976
AL,electricity,2014,300.946
AT,electricity,2014,1445.877
BA,electricity,2014,395.959
BE,electricity,2014,1572.227
BG,electricity,2014,910.576
CY,electricity,2014,122.528
CZ,electricity,2014,1214.531
DE,electricity,2014,11143.594
DK,electricity,2014,868.788
EE,electricity,2014,149.527
EL,electricity,2014,1474.721
ES,electricity,2014,6079.966
FI,electricity,2014,1828.375
FR,electricity,2014,12967.755
GE,electricity,2014,211.952
HR,electricity,2014,518.745
HU,electricity,2014,896.217
IE,electricity,2014,662.407
IS,electricity,2014,72.306
IT,electricity,2014,5524.936
LT,electricity,2014,228.375
LU,electricity,2014,86.922
LV,electricity,2014,150.215
MD,electricity,2014,142.648
ME,electricity,2014,101.634
MK,electricity,2014,261.909
MT,electricity,2014,52.88
NL,electricity,2014,1962.967
NO,electricity,2014,3170.349
PL,electricity,2014,2414.703
PT,electricity,2014,1024.506
RO,electricity,2014,1024.076
RS,electricity,2014,1186.758
SE,electricity,2014,3551.161
SI,electricity,2014,268.702
