freq,nrg_bal,siec,unit,geo,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,FC_OTH_HH_E,E7000,KTOE,LT,222.786,228.375,228.719,238.607,243.99,256.621,250.447,261.754,293.216,282.812,270.619,280.241
A,FC_OTH_HH_E,E7000,KTOE,LU,84.195,86.922,85.063,83.902,83.355,79.821,78.192,81.67,80.873,80.314,78.575,75.774
A,FC_OTH_HH_E,E7000,KTOE,LV,153.31,150.215,151.247,154.17,142.431,143.601,141.821,150.56,154.427,144.894,141.858,149.643
A,FC_OTH_HH_E,E7000,KTOE,MD,138.521,142.648,143.594,140.499,140.671,141.187,143.68,148.753,156.922,150.129,143.508,159.355
A,FC_OTH_HH_E,E7000,KTOE,ME,109.802,101.634,106.879,107.567,110.567,109.381,110.954,106.715,114.91,118.083,125.916,133.276
A,FC_OTH_HH_E,E7000,KTOE,MK,263.543,261.909,270.163,262.894,266.258,257.848,261.358,274.386,285.194,264.853,257.871,270.881
A,FC_OTH_HH_E,E7000,KTOE,MT,52.365,52.88,56.406,57.261,62.59,67.849,73.532,76.416,81.498,88.708,87.659,93.408
A,FC_OTH_HH_E,E7000,KTOE,NL,2008.681,1962.967,1907.304,1890.683,1875.405,1856.495,1856.737,1888.682,1932.055,1872.894,1808.062,1860.323
A,FC_OTH_HH_E,E7000,KTOE,NO,3344.971,3170.349,3316.415,3425.891,3450.786,3474.166,3440.037,3429.407,3575.041,3125.336,3340.09,3358.047
A,FC_OTH_HH_E,E7000,KTOE,PL,2445.572,2414.703,2431.642,2485.727,2509.114,2517.971,2527.367,2580.053,2630.267,2481.513,2476.956,2796.531
A,FC_OTH_HH_E,E7000,KTOE,PT,1058.813,1024.506,1029.579,1115.45,1082.517,1136.073,1137.004,1174.204,1227.68,1195.532,1253.779,1269.77
A,FC_OTH_HH_E,E7000,KTOE,RO,1022.872,1024.076,1039.983,1037.575,1083.119,1098.872,1116.448,1171.091,1224.782,1160.562,1125.709,1195.815
A,FC_OTH_HH_E,E7000,KTOE,RS,1216.337,1186.758,1209.114,1197.85,1187.877,1153.445,1147.048,1179.547,1193.176,1150.405,1118.505,1137.179
A,FC_OTH_HH_E,E7000,KTOE,SE,3740.671,3551.161,3696.217,3827.945,3880.653,3875.15,3771.195,3660.619,3972.485,3494.067,3400.688,3419.776
A,FC_OTH_HH_E,E7000,KTOE,SI,277.644,268.702,275.58,280.31,286.072,289.58,293.969,312.477,326.962,320.811,350.706,365.387
A,FC_OTH_HH_E,E7000,KTOE,SK,423.904,422.786,432.932,438.263,422.7,438.091,468.874,505.073,513.156,506.535,502.837,495.615
A,FC_OTH_HH_E,E7000,KTOE,TR,3866.896,3971.625,4118.745,4402.752,4664.773,4693.94,4831.824,5218.698,5287.964,5306.144,5635.553,6417.842
A,FC_OTH_HH_E,E7000,KTOE,UA,3557.868,3350.989,3182.975,3088.306,3013.121,3090.886,3029.751,3143.087,,,,
A,FC_OTH_HH_E,E7000,KTOE,UK,9751.677,9292.863,9266.023,9288.482,9060.009,9033.925,8927.331,,,,,
A,FC_OTH_HH_E,E7000,KTOE,XK,229.321,219.69,203.525,181.857,196.987,202.54,217.366,238.839,287.447,291.37,269.09,261.561
A,FC_OTH_HH_E,G3000,KTOE,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,G3000,KTOE,AT,1429.039,1251.537,1357.578,1500.408,1468.812,1344.24,1426.372,1439.275,1562.29,1298.999,1180.186,1088.842
A,FC_OTH_HH_E,G3000,KTOE,BA,,26.87,33.169,34.544,37.704,35.985,38.758,40.606,46.174,41.359,36.909,35.985
A,FC_OTH_HH_E,G3000,KTOE,BE,3738.559,2914.752,3211.42,3394.755,3325.523,3324.986,3308.226,3124.269,3659.629,2908.734,2855.854,2918.972
A,FC_OTH_HH_E,G3000,KTOE,BG,44.949,45.186,51.763,58.899,68.064,77.28,78.685,96.069,113.423,86.989,71.096,81.161
A,FC_OTH_HH_E,G3000,KTOE,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,G3000,KTOE,CZ,2029.944,1645.013,1789.402,1993.686,2004.471,1878.843,1795.387,1855.994,2081.591,1662.033,1486.08,1460.038
A,FC_OTH_HH_E,G3000,KTOE,DE,22509.462,18298.055,19738.844,22092.35,21598.464,22264.75,22379.522,21745.669,25128.124,21370.549,19369.614,19264.67
A,FC_OTH_HH_E,G3000,KTOE,DK,649.907,565.667,598.165,639.619,619.369,612.337,613.079,589.666,576.617,471.76,443.166,425.614
A,FC_OTH_HH_E,G3000,KTOE,EE,52.279,52.214,49.312,57.868,53.814,54.981,57.781,56.208,60.358,48.706,55.17,58.936
A,FC_OTH_HH_E,G3000,KTOE,EL,232.439,231.578,355.694,329.084,360.665,331.327,384.376,441.991,499.31,465.659,364.268,354.082
A,FC_OTH_HH_E,G3000,KTOE,ES,3193.569,3094.346,3318.02,3335.066,3323.51,3653.869,3457.094,3474.386,3634.566,3118.551,2923.968,2916.187
A,FC_OTH_HH_E,G3000,KTOE,EU27_2020,86508.341,70954.824,76881.544,81795.608,81453.528,80475.905,79540.317,78891.782,87916.206,74303.812,67320.125,67171.909
A,FC_OTH_HH_E,G3000,KTOE,FI,29.449,28.676,25.365,26.226,25.9,24.508,26.658,23.949,28.068,19.085,8.832,6.44
A,FC_OTH_HH_E,G3000,KTOE,FR,14507.507,10840.899,11673.43,12630.385,12270.857,11502.73,11221.38,10994.467,11505.062,9575.106,8760.264,8618.978
A,FC_OTH_HH_E,G3000,KTOE,GE,471.305,503.09,573.824,652.918,744.347,722.73,830.68,944.932,1032.062,1126.535,1130.562,1283.124
A,FC_OTH_HH_E,G3000,KTOE,HR,488.306,433.126,446.26,466.082,479.127,467.211,459.103,485.657,524.147,489.182,479.689,473.397
A,FC_OTH_HH_E,G3000,KTOE,HU,2513.07,2320.679,2625.838,2813.435,2971.711,2830.568,2792.906,3026.655,3329.364,2861.715,2492.111,2467.863
A,FC_OTH_HH_E,G3000,KTOE,IE,604.987,534.59,553.989,561.849,554.373,602.87,590.159,588.564,593.79,538.699,463.879,478.996
A,FC_OTH_HH_E,G3000,KTOE,IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,G3000,KTOE,IT,18073.087,15150.838,16985.555,17097.463,17260.611,16499.391,16126.645,15932.597,17405.244,14974.079,12882.563,13186.455
A,FC_OTH_HH_E,G3000,KTOE,LT,123.173,119.991,122.678,145.464,153.785,164.724,160.859,174.375,219.905,197.53,181.773,180.126
A,FC_OTH_HH_E,G3000,KTOE,LU,211.339,203.107,221.364,235.478,267.553,244.532,246.392,258.198,240.596,214.21,189.598,203.703
A,FC_OTH_HH_E,G3000,KTOE,LV,101.698,101.333,98.087,106.362,111.346,119.182,110.732,109.571,115.401,104.631,85.104,89.638
A,FC_OTH_HH_E,G3000,KTOE,MD,210.404,215.219,202.945,212.79,225.114,258.036,259.392,288.306,343.981,246.986,205.399,227.016
A,FC_OTH_HH_E,G3000,KTOE,ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,G3000,KTOE,MK,0.0,0.043,0.064,0.086,0.15,0.193,0.193,0.248,0.288,0.142,0.116,0.197
A,FC_OTH_HH_E,G3000,KTOE,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,G3000,KTOE,NL,8573.746,6393.981,6813.968,7099.801,6885.799,6840.195,6605.151,6323.064,7175.828,5347.99,4793.51,4687.379
A,FC_OTH_HH_E,G3000,KTOE,NO,3.716,3.801,3.36,3.608,3.216,3.211,1.554,1.566,1.536,1.235,1.838,1.169
A,FC_OTH_HH_E,G3000,KTOE,PL,3419.933,3143.1,3157.719,3466.693,3629.954,3561.458,3638.773,3841.427,4566.035,4338.762,4205.247,4234.061
A,FC_OTH_HH_E,G3000,KTOE,PT,244.733,258.147,262.889,243.84,250.733,274.225,285.267,295.747,287.759,267.919,251.654,254.926
A,FC_OTH_HH_E,G3000,KTOE,RO,2444.669,2173.259,2242.82,2287.661,2473.938,2539.206,2530.106,2745.97,3238.374,2709.262,2619.486,2628.647
A,FC_OTH_HH_E,G3000,KTOE,RS,174.011,142.568,151.14,167.735,191.112,194.274,203.179,241.254,295.939,300.425,290.689,321.001
A,FC_OTH_HH_E,G3000,KTOE,SE,33.405,29.127,27.365,30.224,26.074,32.696,19.903,19.017,29.841,25.716,23.224,21.251
A,FC_OTH_HH_E,G3000,KTOE,SI,114.402,88.564,103.482,114.961,119.054,110.945,105.76,105.605,112.452,100.254,84.09,76.827
A,FC_OTH_HH_E,G3000,KTOE,SK,1144.69,1037.059,1050.537,1067.949,1150.021,1118.851,1120.001,1143.392,1228.432,1107.692,1049.699,994.72
A,FC_OTH_HH_E,G3000,KTOE,TR,7853.805,7660.383,9056.621,9567.068,11134.944,10457.465,11852.253,12840.934,13717.561,14808.206,13969.951,15579.126
A,FC_OTH_HH_E,G3000,KTOE,UA,13516.939,11746.84,9085.404,9286.414,8829.72,8478.147,6843.322,6556.771,,,,
A,FC_OTH_HH_E,G3000,KTOE,UK,26659.566,21953.556,23033.578,23616.488,22722.83,24085.369,23984.61,,,,,
A,FC_OTH_HH_E,G3000,KTOE,XK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,H8000,KTOE,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,H8000,KTOE,AT,732.6,684.141,751.797,788.713,825.19,776.35,766.565,835.362,904.772,862.957,890.045,912.446
A,FC_OTH_HH_E,H8000,KTOE,BA,,83.739,96.135,95.323,95.467,94.679,93.174,98.094,99.718,93.341,93.699,85.149
A,FC_OTH_HH_E,H8000,KTOE,BE,10.588,9.274,7.636,12.033,12.152,13.0,13.184,14.004,15.083,10.636,10.435,11.106
A,FC_OTH_HH_E,H8000,KTOE,BG,318.334,310.739,332.665,324.615,339.79,323.797,307.569,329.942,338.831,307.398,292.11,279.142
A,FC_OTH_HH_E,H8000,KTOE,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,H8000,KTOE,CZ,1194.229,1006.043,1016.17,1056.965,1065.898,998.318,971.232,975.977,1090.528,957.854,809.049,829.809
A,FC_OTH_HH_E,H8000,KTOE,DE,4406.372,3662.511,4070.03,4419.7,4431.141,3656.468,3967.183,3863.762,3863.762,3450.201,3455.981,3382.87
A,FC_OTH_HH_E,H8000,KTOE,DK,1645.911,1510.246,1620.089,1664.023,1678.477,1675.02,1639.458,1588.093,1751.579,1594.86,1646.297,1679.347
A,FC_OTH_HH_E,H8000,KTOE,EE,330.085,298.366,283.486,311.861,318.143,322.442,326.741,312.888,320.054,334.384,321.094,225.722
A,FC_OTH_HH_E,H8000,KTOE,EL,41.511,49.513,49.99,39.744,38.8,40.894,38.523,39.944,35.776,27.383,25.576,24.09
A,FC_OTH_HH_E,H8000,KTOE,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.405
A,FC_OTH_HH_E,H8000,KTOE,EU27_2020,22457.579,20188.361,21068.894,22084.66,22118.646,21077.004,20816.854,20368.113,22048.453,19861.691,19565.955,19286.812
A,FC_OTH_HH_E,H8000,KTOE,FI,1598.285,1572.49,1545.691,1684.795,1660.361,1610.156,1592.147,1460.184,1692.868,1580.921,1598.285,1568.358
A,FC_OTH_HH_E,H8000,KTOE,FR,1095.112,1032.156,1154.738,1261.535,1227.912,1248.846,1259.566,1206.728,1438.348,1206.227,1244.438,1264.717
A,FC_OTH_HH_E,H8000,KTOE,GE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,H8000,KTOE,HR,138.148,114.336,119.59,119.208,117.03,111.563,109.625,113.958,122.862,110.368,103.384,104.521
A,FC_OTH_HH_E,H8000,KTOE,HU,523.24,433.386,468.162,491.019,498.662,467.35,455.001,470.096,500.717,458.13,431.618,420.297
A,FC_OTH_HH_E,H8000,KTOE,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,H8000,KTOE,IS,311.837,296.623,305.675,336.586,337.009,417.88,368.388,393.68,411.298,355.26,365.036,395.551
A,FC_OTH_HH_E,H8000,KTOE,IT,930.52,818.382,908.403,946.666,904.942,1091.622,887.883,869.621,707.864,686.456,611.769,694.339
A,FC_OTH_HH_E,H8000,KTOE,LT,464.675,440.002,429.732,466.347,474.802,472.031,445.663,420.321,501.123,457.629,452.135,446.499
A,FC_OTH_HH_E,H8000,KTOE,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,H8000,KTOE,LV,368.276,350.65,336.797,369.471,372.433,370.992,367.299,346.889,416.086,365.687,347.565,350.898
A,FC_OTH_HH_E,H8000,KTOE,MD,108.818,106.788,117.87,122.934,115.171,122.337,108.723,109.176,122.098,100.363,96.709,105.546
A,FC_OTH_HH_E,H8000,KTOE,ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,H8000,KTOE,MK,28.255,27.252,31.981,32.686,35.078,33.858,31.505,36.389,40.57,33.544,34.427,34.636
A,FC_OTH_HH_E,H8000,KTOE,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,H8000,KTOE,NL,325.404,260.772,288.478,293.175,285.213,298.649,288.567,281.368,317.197,245.914,240.569,244.666
A,FC_OTH_HH_E,H8000,KTOE,NO,93.08,85.962,89.174,104.184,117.411,121.078,133.138,126.101,147.509,142.08,165.503,161.084
A,FC_OTH_HH_E,H8000,KTOE,PL,4203.688,3893.188,3881.246,3893.188,3917.073,3749.881,3630.458,3636.906,4060.38,3636.906,3487.389,3279.354
A,FC_OTH_HH_E,H8000,KTOE,PT,0.979,0.908,0.86,0.86,0.86,1.055,0.86,0.86,0.86,0.597,0.0,0.0
A,FC_OTH_HH_E,H8000,KTOE,RO,905.083,799.107,801.543,803.979,804.937,781.775,704.239,711.585,726.845,610.531,558.27,560.761
A,FC_OTH_HH_E,H8000,KTOE,RS,376.564,358.054,401.572,404.342,394.851,404.427,376.463,436.319,459.654,381.362,376.833,374.584
A,FC_OTH_HH_E,H8000,KTOE,SE,2643.857,2447.645,2472.222,2606.286,2613.929,2575.069,2567.235,2404.987,2745.581,2547.459,2677.654,2617.034
A,FC_OTH_HH_E,H8000,KTOE,SI,81.446,66.829,76.693,82.044,79.005,74.94,73.896,75.065,81.841,70.271,67.461,66.077
A,FC_OTH_HH_E,H8000,KTOE,SK,499.236,427.677,452.876,448.433,451.896,416.786,403.96,409.573,415.496,338.922,294.831,294.354
A,FC_OTH_HH_E,H8000,KTOE,TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,FC_OTH_HH_E,H8000,KTOE,UA,4668.052,3898.061,2874.51,3078.771,2643.403,2271.496,1979.832,1896.102,,,,
A,FC_OTH_HH_E,H8000,KTOE,UK,51.925,51.925,260.442,260.442,268.564,269.424,269.173,,,,,
A,FC_OTH_HH_E,H8000,KTOE,XK,2.388,2.651,6.162,8.766,9.446,9.551,9.583,11.327,13.19,13.118,13.264,13.277
A,FC_OTH_HH_E,O4630,KTOE,AL,82.49,89.27,91.53,96.05,107.35,109.61,109.61,113.136,122.176,114.266,110.346,96.425
